Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"Gene1673",28.3729892779686,-1.88445370941516,0.571707839336468,-3.29618308470684,0.000980081217056,0.014356082128329
"Gene1684",116.26014496044,-2.58661031642408,0.8181972123751,-3.16135312770812,0.001570379912703,0.019521909616741
"Gene1699",41.5761273689688,1.94995663582566,0.514665242917883,3.78878632792536,0.000151385046025,0.004625627730345
"Gene1711",5.8879589740277,2.42711755919837,0.652579239936995,3.71926872732375,0.00019980039478,0.005349804671549
"Gene1734",3.46879878393162,3.84583262520817,1.01530561304835,3.78785714939706,0.000151952168055,0.004625627730345
"Gene1737",13.9753161571276,2.07918130903686,0.65929621843662,3.1536375469697,0.001612492198795,0.019784514520056
"Gene1739",7.66665667640601,2.3520988603207,0.733484333428251,3.20674723797735,0.001342448924544,0.017754864538448
"Gene1755",28.0321218377465,-1.95830865775021,0.632001917996822,-3.09858024475181,0.001944503033615,0.022212991677506
"Gene1761",277.502479243314,1.39458868992319,0.50779762377916,2.74634741207393,0.006026291146672,0.044076859675457
"Gene1768",32.7408775276077,-1.54720225690604,0.42892659813011,-3.60714925036361,0.00030957960491,0.007087812046869
"Gene1772",13.5066942804534,3.10790923628304,0.712594183858746,4.36140135112176,1.29E-05,0.001257474104802
"Gene1779",50.6287888447931,-1.39716783393535,0.515652669389765,-2.70951343195564,0.006738197674222,0.046642531575153
"Gene1784",5.77933965990656,-2.97572607992012,0.826882132699306,-3.59873065609248,0.000319774162585,0.007230080547404
"Gene1788",18.1285246992257,2.75721740432435,0.618566166004298,4.45743326398683,8.29E-06,0.000982559508931
"Gene1795",30.9671703842129,-1.52556059730788,0.559392584546511,-2.72717343678165,0.006387945319757,0.045395465173421
"Gene1797",268.669606598468,1.75228515046672,0.522422860661922,3.35415098077166,0.000796089123964,0.012721083977951
"Gene1802",12.6600604819689,2.07962046769894,0.572458387917739,3.63278888315945,0.000280374406237,0.006655435358581
"Gene1804",28.1792677697894,2.04160664758285,0.60746256141161,3.36087650050171,0.000776955575967,0.012563050045523
"Gene1805",218.475077295932,-1.5145899502992,0.481147162449318,-3.14787256063001,0.001644633773953,0.01996267128498
"Gene1806",4.19412706488849,2.30945472802985,0.713830691264834,3.2352976080893,0.00121516000313,0.016494569894429
"Gene1810",399.516751288057,-1.53550063935947,0.538882079361161,-2.84941863566847,0.004379920696092,0.035943054025607
"Gene1812",13.4468322850306,1.9894768396388,0.692672705419732,2.87217443977853,0.004076578737049,0.034556785695791
"Gene1819",20.4799035671609,-1.94628619294575,0.703087290379633,-2.76819993701614,0.005636686418899,0.042305761397518
"Gene1822",90.179655132135,1.82700342544001,0.510121174727707,3.5815087001931,0.000341615759548,0.007463960837227
"Gene1839",60.9150086002566,2.28597371380773,0.656052972380467,3.48443465702648,0.0004931778668,0.00933099373678
"Gene1844",48.717805226598,1.74332762040777,0.60720056800133,2.87109023324226,0.004090587408955,0.034611196881049
"Gene1848",73.413865195353,-1.65699432756636,0.460704007928991,-3.59665707058871,0.000322332978799,0.007257819840808
"Gene1856",68.1318168217271,1.89341005371798,0.558845442834135,3.38807460630924,0.000703851161875,0.011875224613551
